A	B	GO_BMA	A_name	B_name
hsa05152	hsa05170	0.938	Tuberculosis	Human immunodeficiency virus 1 infection
hsa05152	hsa05417	0.949	Tuberculosis	Lipid and atherosclerosis
hsa05160	hsa04151	0.94	Hepatitis C	PI3K-Akt signaling pathway
hsa05160	hsa04210	0.941	Hepatitis C	Apoptosis
hsa05160	hsa04620	0.945	Hepatitis C	Toll-like receptor signaling pathway
hsa05160	hsa04660	0.943	Hepatitis C	T cell receptor signaling pathway
hsa05160	hsa04668	0.942	Hepatitis C	TNF signaling pathway
hsa05160	hsa04722	0.941	Hepatitis C	Neurotrophin signaling pathway
hsa05160	hsa05135	0.941	Hepatitis C	Yersinia infection
hsa05160	hsa05161	0.963	Hepatitis C	Hepatitis B
hsa05160	hsa05162	0.963	Hepatitis C	Measles
hsa05160	hsa05163	0.946	Hepatitis C	Human cytomegalovirus infection
hsa05160	hsa05164	0.953	Hepatitis C	Influenza A
hsa05160	hsa05167	0.954	Hepatitis C	Kaposi sarcoma-associated herpesvirus infection
hsa05160	hsa05168	0.958	Hepatitis C	Herpes simplex virus 1 infection
hsa05160	hsa05169	0.953	Hepatitis C	Epstein-Barr virus infection
hsa05160	hsa05210	0.94	Hepatitis C	Colorectal cancer
hsa05160	hsa05212	0.944	Hepatitis C	Pancreatic cancer
hsa05160	hsa05215	0.943	Hepatitis C	Prostate cancer
hsa05160	hsa05223	0.941	Hepatitis C	Non-small cell lung cancer
hsa05160	hsa05235	0.941	Hepatitis C	PD-L1 expression and PD-1 checkpoint pathway in cancer
hsa05160	hsa05417	0.943	Hepatitis C	Lipid and atherosclerosis
hsa05161	hsa04068	0.951	Hepatitis B	FoxO signaling pathway
hsa05161	hsa04380	0.951	Hepatitis B	Osteoclast differentiation
hsa05161	hsa04620	0.956	Hepatitis B	Toll-like receptor signaling pathway
hsa05161	hsa04668	0.955	Hepatitis B	TNF signaling pathway
hsa05161	hsa04933	0.955	Hepatitis B	AGE-RAGE signaling pathway in diabetic complications
hsa05161	hsa05135	0.95	Hepatitis B	Yersinia infection
hsa05161	hsa05142	0.952	Hepatitis B	Chagas disease
hsa05161	hsa05152	0.949	Hepatitis B	Tuberculosis
hsa05161	hsa05160	0.963	Hepatitis B	Hepatitis C
hsa05161	hsa05162	0.961	Hepatitis B	Measles
hsa05161	hsa05163	0.95	Hepatitis B	Human cytomegalovirus infection
hsa05161	hsa05164	0.955	Hepatitis B	Influenza A
hsa05161	hsa05166	0.953	Hepatitis B	Human T-cell leukemia virus 1 infection
hsa05161	hsa05167	0.959	Hepatitis B	Kaposi sarcoma-associated herpesvirus infection
hsa05161	hsa05168	0.956	Hepatitis B	Herpes simplex virus 1 infection
hsa05161	hsa05169	0.953	Hepatitis B	Epstein-Barr virus infection
hsa05161	hsa05210	0.952	Hepatitis B	Colorectal cancer
hsa05161	hsa05212	0.959	Hepatitis B	Pancreatic cancer
hsa05161	hsa05215	0.949	Hepatitis B	Prostate cancer
hsa05161	hsa05220	0.953	Hepatitis B	Chronic myeloid leukemia
hsa05162	hsa04210	0.938	Measles	Apoptosis
hsa05162	hsa04620	0.953	Measles	Toll-like receptor signaling pathway
hsa05162	hsa04621	0.938	Measles	NOD-like receptor signaling pathway
hsa05162	hsa04625	0.939	Measles	C-type lectin receptor signaling pathway
hsa05162	hsa04630	0.936	Measles	JAK-STAT signaling pathway
hsa05162	hsa04668	0.945	Measles	TNF signaling pathway
hsa05162	hsa05135	0.941	Measles	Yersinia infection
hsa05162	hsa05142	0.939	Measles	Chagas disease
hsa05162	hsa05145	0.944	Measles	Toxoplasmosis
hsa05162	hsa05152	0.939	Measles	Tuberculosis
hsa05162	hsa05160	0.963	Measles	Hepatitis C
hsa05162	hsa05161	0.961	Measles	Hepatitis B
hsa05162	hsa05164	0.956	Measles	Influenza A
hsa05162	hsa05167	0.947	Measles	Kaposi sarcoma-associated herpesvirus infection
hsa05162	hsa05168	0.964	Measles	Herpes simplex virus 1 infection
hsa05162	hsa05169	0.958	Measles	Epstein-Barr virus infection
hsa05162	hsa05170	0.939	Measles	Human immunodeficiency virus 1 infection
hsa05162	hsa05171	0.942	Measles	Coronavirus disease - COVID-19
hsa05162	hsa05235	0.938	Measles	PD-L1 expression and PD-1 checkpoint pathway in cancer
hsa05162	hsa05417	0.944	Measles	Lipid and atherosclerosis
hsa05163	hsa04010	0.949	Human cytomegalovirus infection	MAPK signaling pathway
hsa05163	hsa04014	0.944	Human cytomegalovirus infection	Ras signaling pathway
hsa05163	hsa04062	0.958	Human cytomegalovirus infection	Chemokine signaling pathway
hsa05163	hsa04151	0.958	Human cytomegalovirus infection	PI3K-Akt signaling pathway
hsa05163	hsa04218	0.942	Human cytomegalovirus infection	Cellular senescence
hsa05163	hsa04625	0.945	Human cytomegalovirus infection	C-type lectin receptor signaling pathway
hsa05163	hsa05131	0.954	Human cytomegalovirus infection	Shigellosis
hsa05163	hsa05135	0.951	Human cytomegalovirus infection	Yersinia infection
hsa05163	hsa05160	0.946	Human cytomegalovirus infection	Hepatitis C
hsa05163	hsa05161	0.95	Human cytomegalovirus infection	Hepatitis B
hsa05163	hsa05165	0.954	Human cytomegalovirus infection	Human papillomavirus infection
hsa05163	hsa05166	0.95	Human cytomegalovirus infection	Human T-cell leukemia virus 1 infection
hsa05163	hsa05167	0.974	Human cytomegalovirus infection	Kaposi sarcoma-associated herpesvirus infection
hsa05163	hsa05168	0.963	Human cytomegalovirus infection	Herpes simplex virus 1 infection
hsa05163	hsa05169	0.95	Human cytomegalovirus infection	Epstein-Barr virus infection
hsa05163	hsa05170	0.968	Human cytomegalovirus infection	Human immunodeficiency virus 1 infection
hsa05163	hsa05200	0.958	Human cytomegalovirus infection	Pathways in cancer
hsa05163	hsa05205	0.951	Human cytomegalovirus infection	Proteoglycans in cancer
hsa05163	hsa05417	0.954	Human cytomegalovirus infection	Lipid and atherosclerosis
hsa05163	hsa05418	0.941	Human cytomegalovirus infection	Fluid shear stress and atherosclerosis
hsa05164	hsa04210	0.935	Influenza A	Apoptosis
hsa05164	hsa04620	0.948	Influenza A	Toll-like receptor signaling pathway
hsa05164	hsa04621	0.942	Influenza A	NOD-like receptor signaling pathway
hsa05164	hsa04668	0.941	Influenza A	TNF signaling pathway
hsa05164	hsa05131	0.934	Influenza A	Shigellosis
hsa05164	hsa05132	0.935	Influenza A	Salmonella infection
hsa05164	hsa05135	0.942	Influenza A	Yersinia infection
hsa05164	hsa05145	0.94	Influenza A	Toxoplasmosis
hsa05164	hsa05152	0.944	Influenza A	Tuberculosis
hsa05164	hsa05160	0.953	Influenza A	Hepatitis C
hsa05164	hsa05161	0.955	Influenza A	Hepatitis B
hsa05164	hsa05162	0.956	Influenza A	Measles
hsa05164	hsa05163	0.938	Influenza A	Human cytomegalovirus infection
hsa05164	hsa05166	0.939	Influenza A	Human T-cell leukemia virus 1 infection
hsa05164	hsa05167	0.945	Influenza A	Kaposi sarcoma-associated herpesvirus infection
hsa05164	hsa05168	0.968	Influenza A	Herpes simplex virus 1 infection
hsa05164	hsa05169	0.951	Influenza A	Epstein-Barr virus infection
hsa05164	hsa05170	0.937	Influenza A	Human immunodeficiency virus 1 infection
hsa05164	hsa05171	0.934	Influenza A	Coronavirus disease - COVID-19
hsa05164	hsa05417	0.938	Influenza A	Lipid and atherosclerosis
hsa05165	hsa04010	0.942	Human papillomavirus infection	MAPK signaling pathway
hsa05165	hsa04151	0.963	Human papillomavirus infection	PI3K-Akt signaling pathway
hsa05165	hsa04310	0.93	Human papillomavirus infection	Wnt signaling pathway
hsa05165	hsa04510	0.951	Human papillomavirus infection	Focal adhesion
hsa05165	hsa05131	0.933	Human papillomavirus infection	Shigellosis
hsa05165	hsa05160	0.938	Human papillomavirus infection	Hepatitis C
hsa05165	hsa05161	0.942	Human papillomavirus infection	Hepatitis B
hsa05165	hsa05163	0.954	Human papillomavirus infection	Human cytomegalovirus infection
hsa05165	hsa05166	0.946	Human papillomavirus infection	Human T-cell leukemia virus 1 infection
hsa05165	hsa05167	0.947	Human papillomavirus infection	Kaposi sarcoma-associated herpesvirus infection
hsa05165	hsa05168	0.941	Human papillomavirus infection	Herpes simplex virus 1 infection
hsa05165	hsa05169	0.94	Human papillomavirus infection	Epstein-Barr virus infection
hsa05165	hsa05170	0.935	Human papillomavirus infection	Human immunodeficiency virus 1 infection
hsa05165	hsa05200	0.964	Human papillomavirus infection	Pathways in cancer
hsa05165	hsa05203	0.942	Human papillomavirus infection	Viral carcinogenesis
hsa05165	hsa05205	0.957	Human papillomavirus infection	Proteoglycans in cancer
hsa05165	hsa05206	0.947	Human papillomavirus infection	MicroRNAs in cancer
hsa05165	hsa05215	0.93	Human papillomavirus infection	Prostate cancer
hsa05165	hsa05224	0.943	Human papillomavirus infection	Breast cancer
hsa05165	hsa05225	0.939	Human papillomavirus infection	Hepatocellular carcinoma
hsa05165	hsa05226	0.939	Human papillomavirus infection	Gastric cancer
hsa05165	hsa05418	0.93	Human papillomavirus infection	Fluid shear stress and atherosclerosis
hsa05166	hsa04010	0.937	Human T-cell leukemia virus 1 infection	MAPK signaling pathway
hsa05166	hsa04068	0.941	Human T-cell leukemia virus 1 infection	FoxO signaling pathway
hsa05166	hsa04151	0.94	Human T-cell leukemia virus 1 infection	PI3K-Akt signaling pathway
hsa05166	hsa04218	0.952	Human T-cell leukemia virus 1 infection	Cellular senescence
hsa05166	hsa05152	0.936	Human T-cell leukemia virus 1 infection	Tuberculosis
hsa05166	hsa05160	0.933	Human T-cell leukemia virus 1 infection	Hepatitis C
hsa05166	hsa05161	0.953	Human T-cell leukemia virus 1 infection	Hepatitis B
hsa05166	hsa05163	0.95	Human T-cell leukemia virus 1 infection	Human cytomegalovirus infection
hsa05166	hsa05164	0.939	Human T-cell leukemia virus 1 infection	Influenza A
hsa05166	hsa05165	0.946	Human T-cell leukemia virus 1 infection	Human papillomavirus infection
hsa05166	hsa05167	0.947	Human T-cell leukemia virus 1 infection	Kaposi sarcoma-associated herpesvirus infection
hsa05166	hsa05168	0.947	Human T-cell leukemia virus 1 infection	Herpes simplex virus 1 infection
hsa05166	hsa05169	0.944	Human T-cell leukemia virus 1 infection	Epstein-Barr virus infection
hsa05166	hsa05170	0.94	Human T-cell leukemia virus 1 infection	Human immunodeficiency virus 1 infection
hsa05166	hsa05200	0.946	Human T-cell leukemia virus 1 infection	Pathways in cancer
hsa05166	hsa05203	0.949	Human T-cell leukemia virus 1 infection	Viral carcinogenesis
hsa05166	hsa05205	0.932	Human T-cell leukemia virus 1 infection	Proteoglycans in cancer
hsa05166	hsa05212	0.936	Human T-cell leukemia virus 1 infection	Pancreatic cancer
hsa05166	hsa05215	0.934	Human T-cell leukemia virus 1 infection	Prostate cancer
hsa05166	hsa05225	0.937	Human T-cell leukemia virus 1 infection	Hepatocellular carcinoma
hsa05167	hsa04062	0.947	Kaposi sarcoma-associated herpesvirus infection	Chemokine signaling pathway
hsa05167	hsa04151	0.949	Kaposi sarcoma-associated herpesvirus infection	PI3K-Akt signaling pathway
hsa05167	hsa04218	0.946	Kaposi sarcoma-associated herpesvirus infection	Cellular senescence
hsa05167	hsa04625	0.951	Kaposi sarcoma-associated herpesvirus infection	C-type lectin receptor signaling pathway
hsa05167	hsa05131	0.951	Kaposi sarcoma-associated herpesvirus infection	Shigellosis
hsa05167	hsa05135	0.945	Kaposi sarcoma-associated herpesvirus infection	Yersinia infection
hsa05167	hsa05152	0.944	Kaposi sarcoma-associated herpesvirus infection	Tuberculosis
hsa05167	hsa05160	0.954	Kaposi sarcoma-associated herpesvirus infection	Hepatitis C
hsa05167	hsa05161	0.959	Kaposi sarcoma-associated herpesvirus infection	Hepatitis B
hsa05167	hsa05162	0.947	Kaposi sarcoma-associated herpesvirus infection	Measles
hsa05167	hsa05163	0.974	Kaposi sarcoma-associated herpesvirus infection	Human cytomegalovirus infection
hsa05167	hsa05164	0.945	Kaposi sarcoma-associated herpesvirus infection	Influenza A
hsa05167	hsa05165	0.947	Kaposi sarcoma-associated herpesvirus infection	Human papillomavirus infection
hsa05167	hsa05166	0.947	Kaposi sarcoma-associated herpesvirus infection	Human T-cell leukemia virus 1 infection
hsa05167	hsa05168	0.959	Kaposi sarcoma-associated herpesvirus infection	Herpes simplex virus 1 infection
hsa05167	hsa05169	0.953	Kaposi sarcoma-associated herpesvirus infection	Epstein-Barr virus infection
hsa05167	hsa05170	0.962	Kaposi sarcoma-associated herpesvirus infection	Human immunodeficiency virus 1 infection
hsa05167	hsa05200	0.948	Kaposi sarcoma-associated herpesvirus infection	Pathways in cancer
hsa05167	hsa05203	0.947	Kaposi sarcoma-associated herpesvirus infection	Viral carcinogenesis
hsa05167	hsa05417	0.951	Kaposi sarcoma-associated herpesvirus infection	Lipid and atherosclerosis
hsa05168	hsa04210	0.945	Herpes simplex virus 1 infection	Apoptosis
hsa05168	hsa04620	0.951	Herpes simplex virus 1 infection	Toll-like receptor signaling pathway
hsa05168	hsa04621	0.947	Herpes simplex virus 1 infection	NOD-like receptor signaling pathway
hsa05168	hsa04668	0.947	Herpes simplex virus 1 infection	TNF signaling pathway
hsa05168	hsa05131	0.947	Herpes simplex virus 1 infection	Shigellosis
hsa05168	hsa05135	0.949	Herpes simplex virus 1 infection	Yersinia infection
hsa05168	hsa05142	0.949	Herpes simplex virus 1 infection	Chagas disease
hsa05168	hsa05145	0.952	Herpes simplex virus 1 infection	Toxoplasmosis
hsa05168	hsa05152	0.956	Herpes simplex virus 1 infection	Tuberculosis
hsa05168	hsa05160	0.958	Herpes simplex virus 1 infection	Hepatitis C
hsa05168	hsa05161	0.956	Herpes simplex virus 1 infection	Hepatitis B
hsa05168	hsa05162	0.964	Herpes simplex virus 1 infection	Measles
hsa05168	hsa05163	0.963	Herpes simplex virus 1 infection	Human cytomegalovirus infection
hsa05168	hsa05164	0.968	Herpes simplex virus 1 infection	Influenza A
hsa05168	hsa05166	0.947	Herpes simplex virus 1 infection	Human T-cell leukemia virus 1 infection
hsa05168	hsa05167	0.959	Herpes simplex virus 1 infection	Kaposi sarcoma-associated herpesvirus infection
hsa05168	hsa05169	0.969	Herpes simplex virus 1 infection	Epstein-Barr virus infection
hsa05168	hsa05170	0.96	Herpes simplex virus 1 infection	Human immunodeficiency virus 1 infection
hsa05168	hsa05171	0.949	Herpes simplex virus 1 infection	Coronavirus disease - COVID-19
hsa05168	hsa05417	0.951	Herpes simplex virus 1 infection	Lipid and atherosclerosis
hsa05169	hsa04620	0.937	Epstein-Barr virus infection	Toll-like receptor signaling pathway
hsa05169	hsa04621	0.933	Epstein-Barr virus infection	NOD-like receptor signaling pathway
hsa05169	hsa04668	0.934	Epstein-Barr virus infection	TNF signaling pathway
hsa05169	hsa05131	0.934	Epstein-Barr virus infection	Shigellosis
hsa05169	hsa05135	0.936	Epstein-Barr virus infection	Yersinia infection
hsa05169	hsa05145	0.938	Epstein-Barr virus infection	Toxoplasmosis
hsa05169	hsa05152	0.938	Epstein-Barr virus infection	Tuberculosis
hsa05169	hsa05160	0.953	Epstein-Barr virus infection	Hepatitis C
hsa05169	hsa05161	0.953	Epstein-Barr virus infection	Hepatitis B
hsa05169	hsa05162	0.958	Epstein-Barr virus infection	Measles
hsa05169	hsa05163	0.95	Epstein-Barr virus infection	Human cytomegalovirus infection
hsa05169	hsa05164	0.951	Epstein-Barr virus infection	Influenza A
hsa05169	hsa05165	0.94	Epstein-Barr virus infection	Human papillomavirus infection
hsa05169	hsa05166	0.944	Epstein-Barr virus infection	Human T-cell leukemia virus 1 infection
hsa05169	hsa05167	0.953	Epstein-Barr virus infection	Kaposi sarcoma-associated herpesvirus infection
hsa05169	hsa05168	0.969	Epstein-Barr virus infection	Herpes simplex virus 1 infection
hsa05169	hsa05170	0.953	Epstein-Barr virus infection	Human immunodeficiency virus 1 infection
hsa05169	hsa05171	0.933	Epstein-Barr virus infection	Coronavirus disease - COVID-19
hsa05169	hsa05203	0.95	Epstein-Barr virus infection	Viral carcinogenesis
hsa05169	hsa05417	0.936	Epstein-Barr virus infection	Lipid and atherosclerosis
hsa05170	hsa04210	0.938	Human immunodeficiency virus 1 infection	Apoptosis
hsa05170	hsa04218	0.94	Human immunodeficiency virus 1 infection	Cellular senescence
hsa05170	hsa04621	0.936	Human immunodeficiency virus 1 infection	NOD-like receptor signaling pathway
hsa05170	hsa04625	0.943	Human immunodeficiency virus 1 infection	C-type lectin receptor signaling pathway
hsa05170	hsa04660	0.938	Human immunodeficiency virus 1 infection	T cell receptor signaling pathway
hsa05170	hsa04722	0.938	Human immunodeficiency virus 1 infection	Neurotrophin signaling pathway
hsa05170	hsa05131	0.949	Human immunodeficiency virus 1 infection	Shigellosis
hsa05170	hsa05132	0.94	Human immunodeficiency virus 1 infection	Salmonella infection
hsa05170	hsa05135	0.946	Human immunodeficiency virus 1 infection	Yersinia infection
hsa05170	hsa05152	0.938	Human immunodeficiency virus 1 infection	Tuberculosis
hsa05170	hsa05160	0.939	Human immunodeficiency virus 1 infection	Hepatitis C
hsa05170	hsa05161	0.947	Human immunodeficiency virus 1 infection	Hepatitis B
hsa05170	hsa05162	0.939	Human immunodeficiency virus 1 infection	Measles
hsa05170	hsa05163	0.968	Human immunodeficiency virus 1 infection	Human cytomegalovirus infection
hsa05170	hsa05164	0.937	Human immunodeficiency virus 1 infection	Influenza A
hsa05170	hsa05166	0.94	Human immunodeficiency virus 1 infection	Human T-cell leukemia virus 1 infection
hsa05170	hsa05167	0.962	Human immunodeficiency virus 1 infection	Kaposi sarcoma-associated herpesvirus infection
hsa05170	hsa05168	0.96	Human immunodeficiency virus 1 infection	Herpes simplex virus 1 infection
hsa05170	hsa05169	0.953	Human immunodeficiency virus 1 infection	Epstein-Barr virus infection
hsa05170	hsa05417	0.946	Human immunodeficiency virus 1 infection	Lipid and atherosclerosis
hsa05171	hsa04066	0.922	Coronavirus disease - COVID-19	HIF-1 signaling pathway
hsa05171	hsa04151	0.933	Coronavirus disease - COVID-19	PI3K-Akt signaling pathway
hsa05171	hsa04620	0.93	Coronavirus disease - COVID-19	Toll-like receptor signaling pathway
hsa05171	hsa04621	0.928	Coronavirus disease - COVID-19	NOD-like receptor signaling pathway
hsa05171	hsa04668	0.928	Coronavirus disease - COVID-19	TNF signaling pathway
hsa05171	hsa05130	0.93	Coronavirus disease - COVID-19	Pathogenic Escherichia coli infection
hsa05171	hsa05131	0.936	Coronavirus disease - COVID-19	Shigellosis
hsa05171	hsa05132	0.929	Coronavirus disease - COVID-19	Salmonella infection
hsa05171	hsa05135	0.929	Coronavirus disease - COVID-19	Yersinia infection
hsa05171	hsa05142	0.923	Coronavirus disease - COVID-19	Chagas disease
hsa05171	hsa05160	0.934	Coronavirus disease - COVID-19	Hepatitis C
hsa05171	hsa05161	0.934	Coronavirus disease - COVID-19	Hepatitis B
hsa05171	hsa05162	0.942	Coronavirus disease - COVID-19	Measles
hsa05171	hsa05163	0.925	Coronavirus disease - COVID-19	Human cytomegalovirus infection
hsa05171	hsa05164	0.934	Coronavirus disease - COVID-19	Influenza A
hsa05171	hsa05167	0.941	Coronavirus disease - COVID-19	Kaposi sarcoma-associated herpesvirus infection
hsa05171	hsa05168	0.949	Coronavirus disease - COVID-19	Herpes simplex virus 1 infection
hsa05171	hsa05169	0.933	Coronavirus disease - COVID-19	Epstein-Barr virus infection
hsa05171	hsa05205	0.923	Coronavirus disease - COVID-19	Proteoglycans in cancer
hsa05171	hsa05417	0.925	Coronavirus disease - COVID-19	Lipid and atherosclerosis
hsa05200	hsa04010	0.953	Pathways in cancer	MAPK signaling pathway
hsa05200	hsa04014	0.939	Pathways in cancer	Ras signaling pathway
hsa05200	hsa04151	0.967	Pathways in cancer	PI3K-Akt signaling pathway
hsa05200	hsa04310	0.935	Pathways in cancer	Wnt signaling pathway
hsa05200	hsa04510	0.941	Pathways in cancer	Focal adhesion
hsa05200	hsa04933	0.936	Pathways in cancer	AGE-RAGE signaling pathway in diabetic complications
hsa05200	hsa05161	0.944	Pathways in cancer	Hepatitis B
hsa05200	hsa05163	0.958	Pathways in cancer	Human cytomegalovirus infection
hsa05200	hsa05165	0.964	Pathways in cancer	Human papillomavirus infection
hsa05200	hsa05166	0.946	Pathways in cancer	Human T-cell leukemia virus 1 infection
hsa05200	hsa05167	0.948	Pathways in cancer	Kaposi sarcoma-associated herpesvirus infection
hsa05200	hsa05205	0.961	Pathways in cancer	Proteoglycans in cancer
hsa05200	hsa05206	0.954	Pathways in cancer	MicroRNAs in cancer
hsa05200	hsa05207	0.942	Pathways in cancer	Chemical carcinogenesis - receptor activation
hsa05200	hsa05215	0.936	Pathways in cancer	Prostate cancer
hsa05200	hsa05224	0.942	Pathways in cancer	Breast cancer
hsa05200	hsa05225	0.949	Pathways in cancer	Hepatocellular carcinoma
hsa05200	hsa05226	0.946	Pathways in cancer	Gastric cancer
hsa05200	hsa05417	0.944	Pathways in cancer	Lipid and atherosclerosis
hsa05200	hsa05418	0.945	Pathways in cancer	Fluid shear stress and atherosclerosis
hsa05202	hsa04068	0.923	Transcriptional misregulation in cancer	FoxO signaling pathway
hsa05202	hsa04210	0.917	Transcriptional misregulation in cancer	Apoptosis
hsa05202	hsa04218	0.924	Transcriptional misregulation in cancer	Cellular senescence
hsa05202	hsa04550	0.925	Transcriptional misregulation in cancer	Signaling pathways regulating pluripotency of stem cells
hsa05202	hsa05161	0.936	Transcriptional misregulation in cancer	Hepatitis B
hsa05202	hsa05162	0.917	Transcriptional misregulation in cancer	Measles
hsa05202	hsa05166	0.928	Transcriptional misregulation in cancer	Human T-cell leukemia virus 1 infection
hsa05202	hsa05169	0.923	Transcriptional misregulation in cancer	Epstein-Barr virus infection
hsa05202	hsa05200	0.932	Transcriptional misregulation in cancer	Pathways in cancer
hsa05202	hsa05206	0.925	Transcriptional misregulation in cancer	MicroRNAs in cancer
hsa05202	hsa05210	0.917	Transcriptional misregulation in cancer	Colorectal cancer
hsa05202	hsa05212	0.921	Transcriptional misregulation in cancer	Pancreatic cancer
hsa05202	hsa05215	0.931	Transcriptional misregulation in cancer	Prostate cancer
hsa05202	hsa05220	0.929	Transcriptional misregulation in cancer	Chronic myeloid leukemia
hsa05202	hsa05221	0.921	Transcriptional misregulation in cancer	Acute myeloid leukemia
hsa05202	hsa05222	0.922	Transcriptional misregulation in cancer	Small cell lung cancer
hsa05202	hsa05224	0.929	Transcriptional misregulation in cancer	Breast cancer
hsa05202	hsa05225	0.926	Transcriptional misregulation in cancer	Hepatocellular carcinoma
hsa05202	hsa05226	0.929	Transcriptional misregulation in cancer	Gastric cancer
hsa05202	hsa05418	0.916	Transcriptional misregulation in cancer	Fluid shear stress and atherosclerosis
hsa05203	hsa04218	0.934	Viral carcinogenesis	Cellular senescence
hsa05203	hsa04613	0.931	Viral carcinogenesis	Neutrophil extracellular trap formation
hsa05203	hsa04919	0.928	Viral carcinogenesis	Thyroid hormone signaling pathway
hsa05203	hsa05131	0.937	Viral carcinogenesis	Shigellosis
hsa05203	hsa05135	0.928	Viral carcinogenesis	Yersinia infection
hsa05203	hsa05160	0.936	Viral carcinogenesis	Hepatitis C
hsa05203	hsa05161	0.947	Viral carcinogenesis	Hepatitis B
hsa05203	hsa05162	0.93	Viral carcinogenesis	Measles
hsa05203	hsa05163	0.941	Viral carcinogenesis	Human cytomegalovirus infection
hsa05203	hsa05165	0.942	Viral carcinogenesis	Human papillomavirus infection
hsa05203	hsa05166	0.949	Viral carcinogenesis	Human T-cell leukemia virus 1 infection
hsa05203	hsa05167	0.947	Viral carcinogenesis	Kaposi sarcoma-associated herpesvirus infection
hsa05203	hsa05168	0.941	Viral carcinogenesis	Herpes simplex virus 1 infection
hsa05203	hsa05169	0.95	Viral carcinogenesis	Epstein-Barr virus infection
hsa05203	hsa05170	0.934	Viral carcinogenesis	Human immunodeficiency virus 1 infection
hsa05203	hsa05200	0.93	Viral carcinogenesis	Pathways in cancer
hsa05203	hsa05206	0.93	Viral carcinogenesis	MicroRNAs in cancer
hsa05203	hsa05212	0.929	Viral carcinogenesis	Pancreatic cancer
hsa05203	hsa05215	0.928	Viral carcinogenesis	Prostate cancer
hsa05203	hsa05220	0.928	Viral carcinogenesis	Chronic myeloid leukemia
hsa05204	hsa00040	0.81	Chemical carcinogenesis - DNA adducts	Pentose and glucuronate interconversions
hsa05204	hsa00053	0.801	Chemical carcinogenesis - DNA adducts	Ascorbate and aldarate metabolism
hsa05204	hsa00140	0.913	Chemical carcinogenesis - DNA adducts	Steroid hormone biosynthesis
hsa05204	hsa00480	0.831	Chemical carcinogenesis - DNA adducts	Glutathione metabolism
hsa05204	hsa00590	0.837	Chemical carcinogenesis - DNA adducts	Arachidonic acid metabolism
hsa05204	hsa00591	0.81	Chemical carcinogenesis - DNA adducts	Linoleic acid metabolism
hsa05204	hsa00830	0.887	Chemical carcinogenesis - DNA adducts	Retinol metabolism
hsa05204	hsa00980	0.972	Chemical carcinogenesis - DNA adducts	Metabolism of xenobiotics by cytochrome P450
hsa05204	hsa00982	0.95	Chemical carcinogenesis - DNA adducts	Drug metabolism - cytochrome P450
hsa05204	hsa00983	0.908	Chemical carcinogenesis - DNA adducts	Drug metabolism - other enzymes
hsa05204	hsa04726	0.719	Chemical carcinogenesis - DNA adducts	Serotonergic synapse
hsa05204	hsa04913	0.777	Chemical carcinogenesis - DNA adducts	Ovarian steroidogenesis
hsa05204	hsa04976	0.714	Chemical carcinogenesis - DNA adducts	Bile secretion
hsa05204	hsa05208	0.735	Chemical carcinogenesis - DNA adducts	Chemical carcinogenesis - reactive oxygen species
hsa05205	hsa04010	0.955	Proteoglycans in cancer	MAPK signaling pathway
hsa05205	hsa04014	0.943	Proteoglycans in cancer	Ras signaling pathway
hsa05205	hsa04015	0.949	Proteoglycans in cancer	Rap1 signaling pathway
hsa05205	hsa04151	0.96	Proteoglycans in cancer	PI3K-Akt signaling pathway
hsa05205	hsa04360	0.946	Proteoglycans in cancer	Axon guidance
hsa05205	hsa04510	0.965	Proteoglycans in cancer	Focal adhesion
hsa05205	hsa04810	0.947	Proteoglycans in cancer	Regulation of actin cytoskeleton
hsa05205	hsa04933	0.939	Proteoglycans in cancer	AGE-RAGE signaling pathway in diabetic complications
hsa05205	hsa05131	0.945	Proteoglycans in cancer	Shigellosis
hsa05205	hsa05135	0.94	Proteoglycans in cancer	Yersinia infection
hsa05205	hsa05161	0.939	Proteoglycans in cancer	Hepatitis B
hsa05205	hsa05163	0.951	Proteoglycans in cancer	Human cytomegalovirus infection
hsa05205	hsa05165	0.957	Proteoglycans in cancer	Human papillomavirus infection
hsa05205	hsa05167	0.941	Proteoglycans in cancer	Kaposi sarcoma-associated herpesvirus infection
hsa05205	hsa05200	0.961	Proteoglycans in cancer	Pathways in cancer
hsa05205	hsa05206	0.954	Proteoglycans in cancer	MicroRNAs in cancer
hsa05205	hsa05224	0.945	Proteoglycans in cancer	Breast cancer
hsa05205	hsa05225	0.946	Proteoglycans in cancer	Hepatocellular carcinoma
hsa05205	hsa05226	0.947	Proteoglycans in cancer	Gastric cancer
hsa05205	hsa05418	0.948	Proteoglycans in cancer	Fluid shear stress and atherosclerosis
hsa05206	hsa04010	0.934	MicroRNAs in cancer	MAPK signaling pathway
hsa05206	hsa04014	0.926	MicroRNAs in cancer	Ras signaling pathway
hsa05206	hsa04068	0.929	MicroRNAs in cancer	FoxO signaling pathway
hsa05206	hsa04151	0.947	MicroRNAs in cancer	PI3K-Akt signaling pathway
hsa05206	hsa04218	0.928	MicroRNAs in cancer	Cellular senescence
hsa05206	hsa04510	0.936	MicroRNAs in cancer	Focal adhesion
hsa05206	hsa05131	0.927	MicroRNAs in cancer	Shigellosis
hsa05206	hsa05161	0.933	MicroRNAs in cancer	Hepatitis B
